,Name of movie,Rating,Genre,Watchtime,Stars
124,North by Northwest,Not Rated,Adventure Mystery Thriller,136,8.3
125,Vertigo,PG,Mystery Romance Thriller,128,8.3
126,Singin' in the Rain,G,Comedy Musical Romance,103,8.3
127,Ikiru,Not Rated,Drama,143,8.3
128,Bicycle Thieves,Not Rated,Drama,89,8.3
129,Double Indemnity,Not Rated,Crime Drama Film-Noir,107,8.3
130,Citizen Kane,PG,Drama Mystery,119,8.3
131,M,Not Rated,Crime Mystery Thriller,99,8.3
132,Metropolis,Not Rated,Drama Sci-Fi,153,8.3
133,The Kid,Not Rated,Comedy Drama Family,68,8.3
134,Andhadhun,Not Rated,Crime Drama Music,139,8.2
135,Green Book,PG-13,Biography Comedy Drama,130,8.2
136,A Silent Voice: The Movie,Not Rated,Animation Drama,130,8.2
137,Talvar,Not Rated,Crime Drama Mystery,132,8.2
138,Baahubali 2: The Conclusion,Not Rated,Action Drama,167,8.2
139,Klaus,PG,Animation Adventure Comedy,96,8.2
140,Masaan,Not Rated,Drama,109,8.2
141,Drishyam,Not Rated,Crime Drama Mystery,163,8.2
142,Queen,Not Rated,Adventure Comedy Drama,146,8.2
143,Tangerines,Not Rated,Drama War,87,8.2
144,Bhaag Milkha Bhaag,Not Rated,Biography Drama Sport,186,8.2
145,Gangs of Wasseypur,Not Rated,Action Crime Drama,321,8.2
146,Udaan,Not Rated,Drama,134,8.2
147,Paan Singh Tomar,Not Rated,Action Biography Crime,135,8.2
148,Zindagi Na Milegi Dobara,Not Rated,Comedy Drama,155,8.2
149,The Secret in Their Eyes,R,Drama Mystery Romance,129,8.2
150,Shutter Island,R,Mystery Thriller,138,8.2
151,Up,PG,Animation Adventure Comedy,96,8.2
152,Miracle in Cell No. 7,TV-14,Drama,132,8.2
153,Article 15,Not Rated,Crime Drama Mystery,130,8.2
154,The Wolf of Wall Street,R,Biography Crime Drama,180,8.2
155,Chak De! India,Not Rated,Drama Family Sport,153,8.2
156,There Will Be Blood,R,Drama,158,8.2
157,Pan's Labyrinth,R,Drama Fantasy War,118,8.2
158,Toy Story 3,G,Animation Adventure Comedy,103,8.2
159,Black,Not Rated,Drama,122,8.2
160,Batman Begins,PG-13,Action Adventure,140,8.2
161,Swades,Not Rated,Drama Musical,189,8.2
162,Downfall,R,Biography Drama History,156,8.2
163,Howl's Moving Castle,PG,Animation Adventure Family,119,8.2
164,A Beautiful Mind,PG-13,Biography Drama,135,8.2
165,Hera Pheri,Not Rated,Action Comedy Crime,156,8.2
166,"Lock, Stock and Two Smoking Barrels",R,Action Comedy Crime,107,8.2
