,Name of movie,Rating,Genre,Watchtime,Metascore
877,The Dirty Dozen,Not Rated,Action Adventure War,150,73
879,A Man for All Seasons,G,Biography Drama History,120,72
880,Repulsion,Not Rated,Drama Horror Thriller,105,91
881,Zulu,Not Rated,Drama History War,138,77
882,Goldfinger,PG,Action Adventure Thriller,110,87
883,The Birds,PG-13,Drama Horror Mystery,119,90
884,Cape Fear,Not Rated,Drama Thriller,106,76
886,The Magnificent Seven,Not Rated,Action Adventure Western,128,74
887,Les yeux sans visage,Not Rated,Drama Horror,90,90
888,Invasion of the Body Snatchers,Not Rated,Drama Horror Sci-Fi,80,92
889,Rebel Without a Cause,PG-13,Drama,111,89
890,The Ladykillers,Not Rated,Comedy Crime,91,91
891,Sabrina,Not Rated,Comedy Drama Romance,113,72
892,The Caine Mutiny,Not Rated,Drama War,124,63
894,Fantasia,G,Animation Family Fantasy,125,96
895,The Invisible Man,TV-PG,Horror Sci-Fi,71,87
896,Dark Waters,PG-13,Biography Drama History,126,73
897,Searching,PG-13,Drama Mystery Thriller,102,71
898,Once Upon a Time... In Hollywood,R,Comedy Drama,161,83
899,Loveless,R,Drama,127,86
900,Train to Busan,Not Rated,Action Horror Thriller,118,72
901,The Florida Project,R,Drama,111,92
902,Just Mercy,PG-13,Biography Crime Drama,137,68
903,Gifted,PG-13,Drama,101,60
904,The Peanut Butter Falcon,PG-13,Adventure Comedy Drama,97,70
905,Victoria,Not Rated,Crime Drama Romance,138,77
906,Guardians of the Galaxy Vol. 2,PG-13,Action Adventure Comedy,136,67
907,Baby Driver,R,Action Crime Drama,113,86
908,Only the Brave,PG-13,Action Biography Drama,134,72
909,Incredibles 2,PG,Animation Action Adventure,118,80
910,Moana,PG,Animation Adventure Comedy,107,81
911,Sicario,R,Action Crime Drama,121,82
912,Creed,PG-13,Drama Sport,133,82
913,Leviathan,R,Crime Drama,140,92
914,Hell or High Water,R,Action Crime Drama,102,88
915,Philomena,PG-13,Biography Comedy Drama,98,77
917,The Raid: Redemption,R,Action Thriller,101,73
918,End of Watch,R,Action Adventure Crime,109,68
919,A Star Is Born,R,Drama Music Romance,136,88
920,True Grit,PG-13,Drama Western,110,80
921,In a Better World,R,Drama Romance,118,65
922,Despicable Me,PG,Animation Adventure Comedy,95,72
923,50/50,R,Comedy Drama Romance,100,72
925,Moneyball,PG-13,Biography Drama Sport,133,87
926,The Skin I Live In,R,Drama Horror Thriller,120,70
927,Zombieland,R,Adventure Comedy Fantasy,88,73
929,Sherlock Holmes,PG-13,Action Adventure Mystery,128,57
930,The Blind Side,PG-13,Biography Drama Sport,129,53
931,The Visitor,PG-13,Drama,104,79
932,Seven Pounds,PG-13,Drama,123,36
933,Eastern Promises,R,Action Crime Drama,100,82
935,Stardust,PG-13,Adventure Family Fantasy,127,66
936,The Secret of Kells,Not Rated,Animation Adventure Family,75,81
937,Inside Man,R,Crime Drama Mystery,129,76
938,Gone Baby Gone,R,Crime Drama Mystery,114,72
939,La Vie En Rose,PG-13,Biography Drama Music,140,66
940,Dead Man's Shoes,Not Rated,Crime Drama Thriller,90,52
941,Harry Potter and the Half-Blood Prince,PG,Action Adventure Family,153,78
942,300,R,Action Drama,117,52
943,Match Point,R,Drama Romance Thriller,124,72
944,Watchmen,R,Action Drama Mystery,162,56
945,Saw,R,Horror Mystery Thriller,103,46
946,Mysterious Skin,Not Rated,Drama,105,73
947,A Very Long Engagement,R,Drama Mystery Romance,133,76
948,The Station Agent,R,Comedy Drama,89,81
949,21 Grams,R,Crime Drama Thriller,124,70
950,Sympathy for Mr. Vengeance,R,Crime Drama Thriller,129,56
951,25th Hour,R,Drama,135,68
952,The Butterfly Effect,R,Drama Sci-Fi Thriller,113,30
953,I Am Sam,PG-13,Drama,132,28
954,Battle Royale,Not Rated,Action Adventure Drama,114,81
955,The Royal Tenenbaums,R,Comedy Drama,110,76
956,Y Tu Mamá También,R,Drama,106,88
957,Harry Potter and the Sorcerer's Stone,PG,Adventure Family Fantasy,152,64
958,The Others,PG-13,Horror Mystery Thriller,104,74
959,Minority Report,PG-13,Action Crime Mystery,145,80
960,American Psycho,R,Comedy Crime Drama,101,64
961,The Thin Red Line,R,Drama History War,170,78
962,Mulan,G,Animation Adventure Drama,88,71
963,Fear and Loathing in Las Vegas,R,Adventure Comedy Drama,118,41
964,Dark City,R,Fantasy Mystery Sci-Fi,100,66
965,Lost Highway,R,Mystery Thriller,134,52
966,Die Hard with a Vengeance,R,Action Adventure Thriller,128,58
967,The Bridges of Madison County,PG-13,Drama Romance,135,69
968,Apollo 13,PG,Adventure Drama History,140,77
969,Three Colors: White,R,Comedy Drama Romance,92,88
970,Dazed and Confused,R,Comedy,102,78
971,My Cousin Vinny,R,Comedy Crime,120,68
972,Only Yesterday,PG,Animation Drama Romance,118,90
973,Delicatessen,R,Comedy Crime,99,66
974,Home Alone,PG,Comedy Family,103,63
975,The Godfather: Part III,R,Crime Drama,162,60
976,When Harry Met Sally...,R,Comedy Drama Romance,95,76
977,The Naked Gun: From the Files of Police Squad!,PG-13,Comedy Crime,85,76
978,Withnail & I,R,Comedy Drama,107,84
979,Lethal Weapon,R,Action Crime Thriller,109,68
980,Blood Simple,R,Crime Drama Thriller,99,83
981,Mad Max 2,R,Action Adventure Sci-Fi,96,77
982,The Warriors,R,Action Crime Thriller,92,65
983,Lupin III: The Castle of Cagliostro,Not Rated,Animation Action Adventure,102,72
984,The Muppet Movie,G,Adventure Comedy Family,95,74
985,Escape from Alcatraz,PG,Action Biography Crime,112,76
986,Watership Down,PG,Animation Adventure Drama,91,64
987,Close Encounters of the Third Kind,PG,Drama Sci-Fi,138,90
988,The Long Goodbye,R,Comedy Crime Drama,112,87
989,"Duck, You Sucker!",PG,Drama War Western,138,77
990,Kelly's Heroes,GP,Adventure Comedy War,144,50
991,Where Eagles Dare,M,Action Adventure War,158,63
992,The Jungle Book,G,Animation Adventure Family,78,65
993,A Hard Day's Night,G,Comedy Musical,87,96
994,Breakfast at Tiffany's,Not Rated,Comedy Drama Romance,115,76
995,Giant,G,Drama Western,201,84
996,From Here to Eternity,Not Rated,Drama Romance War,118,85
998,Lifeboat,Not Rated,Drama War,97,78
999,The 39 Steps,Not Rated,Crime Mystery Thriller,86,93
