,Year of relase,Rating,Genre,Watchtime,Stars
55,1936,G,Comedy Drama Family,87,8.5
56,1931,G,Comedy Drama Romance,87,8.5
57,2020,PG-13,Biography Drama History,160,8.4
58,2018,R,Drama,126,8.4
59,2019,R,Crime Drama Thriller,122,8.4
60,2017,Not Rated,Biography Drama History,125,8.4
61,2016,PG,Animation Drama Fantasy,106,8.4
62,2016,Not Rated,Action Biography Drama,161,8.4
63,2018,PG,Animation Action Adventure,117,8.4
64,2019,PG-13,Action Adventure Drama,181,8.4
65,2018,PG-13,Action Adventure Sci-Fi,149,8.4
66,I 2017,PG,Animation Adventure Comedy,105,8.4
67,2012,R,Drama Western,165,8.4
68,2012,PG-13,Action,164,8.4
69,2009,PG-13,Comedy Drama,170,8.4
70,2007,PG,Drama Family,165,8.4
71,2008,G,Animation Adventure Family,98,8.4
72,2006,R,Drama Mystery Thriller,137,8.4
73,2003,R,Action Drama Mystery,120,8.4
74,2000,R,Mystery Thriller,113,8.4
75,1997,PG-13,Animation Action Adventure,134,8.4
76,1984,R,Crime Drama,229,8.4
77,1981,PG,Action Adventure,115,8.4
78,1980,R,Drama Horror,146,8.4
79,1979,R,Drama Mystery War,147,8.4
80,1979,R,Horror Sci-Fi,117,8.4
81,1963,Not Rated,Crime Drama Mystery,143,8.4
82,1964,PG,Comedy,95,8.4
83,1957,Not Rated,Crime Drama Mystery,116,8.4
84,1957,Not Rated,Drama War,88,8.4
85,1950,Not Rated,Drama Film-Noir,110,8.4
86,1940,G,Comedy Drama War,125,8.4
87,2019,Not Rated,Comedy Drama Romance,143,8.3
88,2019,R,Action Drama War,119,8.3
89,2019,Not Rated,Action Drama War,138,8.3
90,2018,Not Rated,Drama Fantasy Horror,104,8.3
91,2018,Not Rated,Action Crime Drama,156,8.3
92,2017,Not Rated,Action Crime Drama,147,8.3
93,2013,Not Rated,Crime Drama Thriller,160,8.3
94,2012,R,Drama,115,8.3
95,2011,PG-13,Drama,123,8.3
96,2010,R,Drama Mystery War,131,8.3
97,2020,R,Animation Action Adventure,117,8.3
98,I 2020,PG-13,Drama,97,8.3
99,2005,Not Rated,Drama Family,112,8.3
100,2009,R,Adventure Drama War,153,8.3
101,2004,R,Drama Romance Sci-Fi,108,8.3
102,2001,R,Comedy Romance,122,8.3
103,2000,R,Comedy Crime,102,8.3
104,2000,R,Drama,102,8.3
105,1999,R,Drama,122,8.3
106,1997,R,Drama Romance,126,8.3
107,1997,PG,Drama Family Sport,89,8.3
108,1995,G,Animation Adventure Comedy,81,8.3
109,1995,R,Biography Drama History,178,8.3
110,1992,R,Crime Drama Thriller,99,8.3
111,1987,R,Drama War,116,8.3
112,1985,Not Rated,Drama Thriller War,142,8.3
113,1986,R,Action Adventure Sci-Fi,137,8.3
114,1984,R,Biography Drama History,160,8.3
115,1983,R,Crime Drama,170,8.3
116,1983,PG,Action Adventure Fantasy,131,8.3
117,1981,R,Adventure Drama Thriller,149,8.3
118,1973,PG,Comedy Crime Drama,129,8.3
119,1971,R,Crime Drama Sci-Fi,136,8.3
120,1968,G,Adventure Sci-Fi,149,8.3
121,1962,Not Rated,Crime Drama,129,8.3
122,1962,Not Rated,Adventure Biography Drama,228,8.3
123,1960,Not Rated,Comedy Drama Romance,125,8.3
124,1959,Not Rated,Adventure Mystery Thriller,136,8.3
125,1958,PG,Mystery Romance Thriller,128,8.3
126,1952,G,Comedy Musical Romance,103,8.3
127,1952,Not Rated,Drama,143,8.3
128,1948,Not Rated,Drama,89,8.3
129,1944,Not Rated,Crime Drama Film-Noir,107,8.3
130,1941,PG,Drama Mystery,119,8.3
131,1931,Not Rated,Crime Mystery Thriller,99,8.3
132,1927,Not Rated,Drama Sci-Fi,153,8.3
133,1921,Not Rated,Comedy Drama Family,68,8.3
134,2018,Not Rated,Crime Drama Music,139,8.2
135,2018,PG-13,Biography Comedy Drama,130,8.2
136,2016,Not Rated,Animation Drama,130,8.2
137,2015,Not Rated,Crime Drama Mystery,132,8.2
138,2017,Not Rated,Action Drama,167,8.2
139,2019,PG,Animation Adventure Comedy,96,8.2
140,2015,Not Rated,Drama,109,8.2
141,2015,Not Rated,Crime Drama Mystery,163,8.2
142,2013,Not Rated,Adventure Comedy Drama,146,8.2
143,2013,Not Rated,Drama War,87,8.2
144,2013,Not Rated,Biography Drama Sport,186,8.2
145,2012,Not Rated,Action Crime Drama,321,8.2
146,2010,Not Rated,Drama,134,8.2
147,2012,Not Rated,Action Biography Crime,135,8.2
148,2011,Not Rated,Comedy Drama,155,8.2
149,2009,R,Drama Mystery Romance,129,8.2
150,2010,R,Mystery Thriller,138,8.2
151,2009,PG,Animation Adventure Comedy,96,8.2
152,2019,TV-14,Drama,132,8.2
153,2019,Not Rated,Crime Drama Mystery,130,8.2
154,2013,R,Biography Crime Drama,180,8.2
155,2007,Not Rated,Drama Family Sport,153,8.2
156,2007,R,Drama,158,8.2
157,2006,R,Drama Fantasy War,118,8.2
158,2010,G,Animation Adventure Comedy,103,8.2
159,2005,Not Rated,Drama,122,8.2
160,2005,PG-13,Action Adventure,140,8.2
161,2004,Not Rated,Drama Musical,189,8.2
162,2004,R,Biography Drama History,156,8.2
163,2004,PG,Animation Adventure Family,119,8.2
164,2001,PG-13,Biography Drama,135,8.2
165,2000,Not Rated,Action Comedy Crime,156,8.2
166,1998,R,Action Comedy Crime,107,8.2
167,1997,R,Crime Drama Mystery,138,8.2
168,1996,Not Rated,Crime Drama Thriller,128,8.2
169,1995,R,Crime Drama Thriller,170,8.2
170,1995,R,Crime Drama,178,8.2
171,1992,R,Drama Western,130,8.2
172,1989,PG-13,Action Adventure,127,8.2
173,1988,R,Comedy Crime Drama,142,8.2
174,1988,G,Animation Family Fantasy,86,8.2
175,1988,R,Action Thriller,132,8.2
176,1985,R,Action Drama War,162,8.2
177,1980,R,Biography Drama Sport,129,8.2
178,1978,PG,Drama Music,99,8.2
179,1976,R,Crime Drama,114,8.2
180,1976,PG,Biography Drama History,177,8.2
181,1975,Not Rated,Action Adventure Comedy,162,8.2
182,1975,PG,Adventure Comedy Fantasy,91,8.2
183,1974,R,Drama Mystery Thriller,130,8.2
184,1971,Not Rated,Drama Musical,122,8.2
185,1965,R,Western,132,8.2
186,1963,Not Rated,Adventure Drama History,172,8.2
187,1961,Not Rated,Action Drama Thriller,110,8.2
188,1961,Not Rated,Drama War,179,8.2
189,1959,Not Rated,Comedy Music Romance,121,8.2
190,1957,Not Rated,Drama Romance,91,8.2
191,1957,Not Rated,Drama Fantasy History,96,8.2
192,1954,PG,Crime Thriller,105,8.2
193,1953,Not Rated,Drama,136,8.2
194,1950,Not Rated,Crime Drama Mystery,88,8.2
195,1950,Not Rated,Drama,138,8.2
196,1948,Not Rated,Adventure Drama Western,126,8.2
197,1942,Not Rated,Comedy Romance War,99,8.2
198,1925,Not Rated,Adventure Comedy Drama,95,8.2
199,1924,Not Rated,Action Comedy Romance,45,8.2
200,2019,R,Drama Romance,122,8.1
201,III 2016,Not Rated,Crime Drama Thriller,136,8.1
202,2020,PG,Animation Adventure Family,103,8.1
203,2017,R,Comedy Crime Drama,115,8.1
204,2016,TV-MA,Crime Drama Mystery,106,8.1
205,2016,Not Rated,Drama Romance Thriller,145,8.1
206,I 2014,R,Drama,139,8.1
207,2014,Not Rated,Action Crime Drama,160,8.1
208,2017,R,Action Drama Sci-Fi,137,8.1
209,I 2015,R,Drama Thriller,118,8.1
